[Wed Mar 12 22:06:34.768550 2025] [mpm_itk:warn] [pid 3116252] (13)Permission denied: [client 192.168.13.234:51564] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/index.php?r=site%2Fabout
[Wed Mar 12 22:06:34.769753 2025] [mpm_itk:warn] [pid 3116248] (13)Permission denied: [client 192.168.13.234:51559] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/index.php?r=site%2Fabout
[Wed Mar 12 22:06:34.822149 2025] [mpm_itk:warn] [pid 3116253] (13)Permission denied: [client 192.168.13.234:51565] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/site/about
[Wed Mar 12 22:06:35.429685 2025] [mpm_itk:warn] [pid 3116254] (13)Permission denied: [client 192.168.13.234:51566] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/site/about
[Wed Mar 12 22:06:35.495125 2025] [mpm_itk:warn] [pid 3116255] (13)Permission denied: [client 192.168.13.234:51567] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/site/contact
[Wed Mar 12 22:06:35.506305 2025] [mpm_itk:warn] [pid 3116256] (13)Permission denied: [client 192.168.13.234:51568] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/site/contact
[Wed Mar 12 22:06:35.508239 2025] [mpm_itk:warn] [pid 3116258] (13)Permission denied: [client 192.168.13.234:51570] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/site/contact
[Wed Mar 12 22:06:36.099173 2025] [mpm_itk:warn] [pid 3116257] (13)Permission denied: [client 192.168.13.234:51569] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/site/contact
[Wed Mar 12 22:06:36.100153 2025] [mpm_itk:warn] [pid 3116260] (13)Permission denied: [client 192.168.13.234:51572] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/site/contact
[Wed Mar 12 22:06:36.100949 2025] [mpm_itk:warn] [pid 3116259] (13)Permission denied: [client 192.168.13.234:51571] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/site/contact
[Wed Mar 12 22:06:36.155326 2025] [mpm_itk:warn] [pid 3116262] (13)Permission denied: [client 192.168.13.234:51573] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/site/login
[Wed Mar 12 22:06:37.071061 2025] [mpm_itk:warn] [pid 3116263] (13)Permission denied: [client 192.168.13.234:51574] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/site/login
[Wed Mar 12 22:06:37.123539 2025] [mpm_itk:warn] [pid 3116264] (13)Permission denied: [client 192.168.13.234:51575] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/site/index
[Wed Mar 12 22:06:37.824405 2025] [mpm_itk:warn] [pid 3116265] (13)Permission denied: [client 192.168.13.234:51576] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/site/index
[Wed Mar 12 22:06:37.879010 2025] [mpm_itk:warn] [pid 3116266] (13)Permission denied: [client 192.168.13.234:51577] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/web/
[Wed Mar 12 22:06:45.194657 2025] [mpm_itk:warn] [pid 3116268] (13)Permission denied: [client 192.168.13.234:51580] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/gii
[Wed Mar 12 22:07:47.687227 2025] [mpm_itk:warn] [pid 3116271] (13)Permission denied: [client 192.168.13.234:51584] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/gii
[Wed Mar 12 22:07:47.704930 2025] [mpm_itk:warn] [pid 3116277] (13)Permission denied: [client 192.168.13.234:51589] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/gii
[Wed Mar 12 22:07:47.705770 2025] [mpm_itk:warn] [pid 3116276] (13)Permission denied: [client 192.168.13.234:51587] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/gii
[Wed Mar 12 22:07:47.706547 2025] [mpm_itk:warn] [pid 3116275] (13)Permission denied: [client 192.168.13.234:51588] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/gii
[Wed Mar 12 22:07:47.707692 2025] [mpm_itk:warn] [pid 3116272] (13)Permission denied: [client 192.168.13.234:51583] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/gii
[Wed Mar 12 22:07:47.708535 2025] [mpm_itk:warn] [pid 3116274] (13)Permission denied: [client 192.168.13.234:51586] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/gii
[Wed Mar 12 22:07:47.714731 2025] [mpm_itk:warn] [pid 3116273] (13)Permission denied: [client 192.168.13.234:51585] Couldn't read /srv/users/zxrysneh/fdgncpj-m1/.htaccess, closing connection., referer: http://fdgncpj-m1.wsr.ru/gii
